acc_x_t1,acc_y_t1,acc_z_t1,gyro_x_t1,gyro_y_t1,gyro_z_t1,flex_t1,acc_x_t2,acc_y_t2,acc_z_t2,gyro_x_t2,gyro_y_t2,gyro_z_t2,flex_t2,acc_x_t3,acc_y_t3,acc_z_t3,gyro_x_t3,gyro_y_t3,gyro_z_t3,flex_t3,acc_x_t4,acc_y_t4,acc_z_t4,gyro_x_t4,gyro_y_t4,gyro_z_t4,flex_t4,acc_x_t5,acc_y_t5,acc_z_t5,gyro_x_t5,gyro_y_t5,gyro_z_t5,flex_t5,acc_x_t6,acc_y_t6,acc_z_t6,gyro_x_t6,gyro_y_t6,gyro_z_t6,flex_t6,acc_x_t7,acc_y_t7,acc_z_t7,gyro_x_t7,gyro_y_t7,gyro_z_t7,flex_t7,acc_x_t8,acc_y_t8,acc_z_t8,gyro_x_t8,gyro_y_t8,gyro_z_t8,flex_t8,acc_x_t9,acc_y_t9,acc_z_t9,gyro_x_t9,gyro_y_t9,gyro_z_t9,flex_t9,acc_x_t10,acc_y_t10,acc_z_t10,gyro_x_t10,gyro_y_t10,gyro_z_t10,flex_t10,gesture
1.335965,-4.144363,14.04499,17.73628,100.2058,24.0625,0,-1.146224,-2.294842,7.879318,1.768293,57.7058,4.390244,0,-2.005743,-2.345121,9.758167,5.945122,84.29116,19.3064,0,-3.526659,-1.187524,8.240842,2.446646,79.10061,10.07622,0,-4.13718,-3.381211,8.58022,15.06098,90.83842,14.69512,0,-5.583278,-2.03148,6.882133,29.02439,107.3857,46.64634,0,-6.240487,-1.376067,8.224682,17.75915,122.3247,33.24695,0,-8.017583,-0.6703765,3.113659,18.24695,99.77897,31.04421,0,-8.816648,0.736217,2.337938,15.37348,79.52744,30.70122,0,-9.01776,0.4381389,2.230798,12.27134,58.76524,30.45732,0,up
-0.2238579,-3.336919,8.777143,30.53354,120.221,13.03354,0,-1.914763,-2.491167,8.926183,10.57927,101.5168,12.43902,0,-3.221398,-1.343746,8.995016,8.658537,73.97104,-5.54878,0,-4.826711,-1.960253,7.989451,25.33537,94.53506,16.76067,0,-5.895722,-0.7320271,6.860585,24.24543,86.97409,14.38262,0,-6.995857,0.3483563,7.102399,14.53506,97.14177,16.36433,0,-7.763798,0.4405331,4.144363,15.91463,113.3232,30.59451,0,-8.734048,0.7655459,2.202666,-2.560976,94.6875,13.98628,0,-9.533113,0.7410054,1.234211,9.695122,74.29116,19.71799,0,-9.501988,1.05704,-0.5063736,3.971037,35.30488,0.6402439,0,up
-2.097919,-1.567604,9.961675,12.52287,128.186,15.73171,0,-4.136582,-0.9618706,7.982268,1.653963,99.33689,1.227134,0,-5.543774,-1.745373,7.123349,24.65701,73.37653,12.82012,0,-6.640318,-0.6769605,6.791153,21.32622,76.28811,26.83689,0,-7.405864,-0.8224083,6.126762,16.6311,101.4329,24.58842,0,-7.657854,0.5883751,5.985504,18.82622,131.2652,17.07317,0,-8.632893,1.647809,-1.043872,12.69817,105.0381,29.53506,0,-9.188348,2.245163,0.4052186,4.603659,36.55488,6.692073,0,-9.391854,0.8248025,1.229423,4.92378,28.03354,-2.827744,0,-9.350554,1.599327,-0.7374141,4.900915,-1.189024,-3.216464,0,up
-3.248333,-1.790863,9.795877,16.36433,80.99085,18.47561,0,-4.630985,-1.33357,7.940969,20.19055,82.04269,11.89787,0,-5.481525,-1.405995,7.94037,18.2622,74.48933,11.25,0,-6.576872,-0.8984242,6.779781,30.04573,88.23933,30.48018,0,-7.23408,0.219668,6.72232,19.01677,85.59451,14.21494,0,-8.14687,1.073799,5.048773,11.62348,85.12958,5.213415,0,-7.878719,0.3453636,4.589086,-15.10671,127.1646,20.95274,0,-9.141661,0.374094,-0.955885,0.4115854,101.6616,49.90854,0,-8.535329,1.860893,0.5889736,-3.155488,24.11585,-5.022866,0,-9.54209,2.406173,0.118513,2.85061,4.466464,-4.077744,0,up
1.596334,-2.49416,10.69071,28.34604,46.13567,-5.9375,0,0.439336,-2.364873,10.42615,21.50915,75.1372,16.13567,0,-0.7763199,-1.745972,9.580997,1.349085,61.35671,11.25762,0,-1.793856,-1.94888,10.47044,7.721037,106.7683,18.5061,0,-3.766079,-0.6847417,7.428609,8.346037,120.5869,2.385671,0,-4.890756,-1.690306,6.876746,17.8125,107.561,15.56402,0,-6.425439,0.296881,7.258621,21.29573,111.5244,22.40092,0,-7.915231,-0.4213795,3.77386,16.62348,105.846,12.65244,0,-8.485649,-0.3363853,3.837307,-3.833842,90.44208,15.87652,0,-9.09258,1.066617,1.329979,-9.291159,100.6631,0.9146341,0,up
2.839523,-4.040814,14.42507,-1.958842,156.3262,33.46037,0,-0.8966286,-1.182137,10.90439,10.82317,135.686,10.5564,0,-2.697068,-2.548029,9.911396,21.69207,103.5137,18.04116,0,-4.466383,-1.62267,8.021772,22.46189,118.6662,10.57927,0,-5.69401,-2.652177,6.885724,21.82165,109.8704,19.08537,0,-6.646903,-1.144428,8.668207,18.17835,130.0229,19.98476,0,-8.189367,1.039083,2.586336,15.07622,123.9787,22.94207,0,-8.740033,1.340154,2.430713,9.115854,91.12043,5.929878,0,-9.583391,1.006762,-0.4399345,3.887195,48.09451,3.20122,0,-9.896433,0.06224924,-1.657386,5.525915,26.96646,-1.905488,0,up
-1.619677,-1.400608,9.108741,3.536585,119.9848,7.14939,0,-3.312977,-0.8553286,8.653243,5.23628,70.08384,0.1371951,0,-4.173094,-1.359907,8.548497,15.80031,83.73476,0.2667683,0,-5.16549,-1.748366,7.232285,22.0122,105.9604,16.79116,0,-6.595427,-1.274314,6.593033,13.36128,115.2363,19.33689,0,-8.07265,0.8804676,4.007295,15.86128,118.8872,19.60366,0,-8.595782,-0.1029507,2.555212,12.59909,99.79421,21.89024,0,-9.132683,0.3489549,0.9343372,10.8689,53.27744,15.52592,0,-9.556456,0.5680243,0.3363853,1.051829,55.40396,14.14634,0,-9.497798,2.215235,-1.430536,2.881098,21.36433,2.141768,0,up
-2.211644,-0.0796072,9.911995,-7.057927,116.1052,-3.460366,0,-4.226365,-1.417966,7.933786,33.10213,126.9665,24.80183,0,-5.738303,-0.7038953,7.447763,24.21494,89.87805,21.84451,0,-6.971317,-0.4572925,6.833052,30.10671,100.7927,16.0747,0,-7.947553,0.2376245,4.511873,18.54421,98.69665,8.300305,0,-8.623316,-0.0784101,3.387197,13.60518,81.44055,15.08384,0,-8.907627,0.8212111,3.128623,5.396342,79.86281,14.23781,0,-9.160814,1.454478,1.101931,-0.06859756,59.35213,10.56402,0,-9.597157,1.510741,-2.397194,3.239329,26.13567,-2.157012,0,-9.697116,1.294066,-2.458247,5.228659,-6.227134,-2.035061,0,up
0.6428432,-0.9738416,11.22881,17.21037,103.9863,-13.23171,0,-1.39582,-1.313818,9.021951,-2.378049,111.1128,1.684451,0,-3.019088,-1.228824,8.80767,2.858232,88.06403,0.4039634,0,-3.636194,-1.658583,10.50755,13.6814,114.596,7.317073,0,-5.306149,-0.7763199,7.235278,15.35061,102.6524,2.195122,0,-7.082048,0.1831564,5.328296,20.94512,91.21951,12.4314,0,-7.887698,0.7392097,4.984129,19.18445,119.3445,23.82622,0,-8.7538,1.140239,1.561618,11.76829,100.9375,26.73781,0,-9.227253,1.31322,1.054646,0.4344512,67.1189,6.333842,0,-9.674371,1.400608,-1.054047,7.698171,35.8308,1.486281,0,up
2.82037,-2.095525,13.68466,14.88567,58.59756,10.86128,0,-0.5955577,-1.453879,7.254431,20.77744,136.3872,26.19665,0,-2.858677,-0.1789666,7.314885,-0.4115854,118.6738,3.224085,0,-4.468179,-0.5608418,6.892308,-0.3429878,134.4665,-16.05945,0,-5.953781,-1.286883,6.637326,22.37805,96.23476,15.91463,0,-7.153276,2.220024,7.378331,33.10976,106.1052,36.7378,0,-8.202535,0.5452795,3.418321,27.20275,125.122,31.58537,0,-9.003994,0.8672996,0.1496376,17.82774,104.7104,17.66006,0,-9.163807,1.856105,-0.7374141,3.315549,71.12043,13.51372,0,-9.272144,1.869872,-0.4333505,-1.089939,46.99695,8.467988,0,up
