acc_x_t1,acc_y_t1,acc_z_t1,gyro_x_t1,gyro_y_t1,gyro_z_t1,flex_t1,acc_x_t2,acc_y_t2,acc_z_t2,gyro_x_t2,gyro_y_t2,gyro_z_t2,flex_t2,acc_x_t3,acc_y_t3,acc_z_t3,gyro_x_t3,gyro_y_t3,gyro_z_t3,flex_t3,acc_x_t4,acc_y_t4,acc_z_t4,gyro_x_t4,gyro_y_t4,gyro_z_t4,flex_t4,acc_x_t5,acc_y_t5,acc_z_t5,gyro_x_t5,gyro_y_t5,gyro_z_t5,flex_t5,acc_x_t6,acc_y_t6,acc_z_t6,gyro_x_t6,gyro_y_t6,gyro_z_t6,flex_t6,acc_x_t7,acc_y_t7,acc_z_t7,gyro_x_t7,gyro_y_t7,gyro_z_t7,flex_t7,acc_x_t8,acc_y_t8,acc_z_t8,gyro_x_t8,gyro_y_t8,gyro_z_t8,flex_t8,acc_x_t9,acc_y_t9,acc_z_t9,gyro_x_t9,gyro_y_t9,gyro_z_t9,flex_t9,acc_x_t10,acc_y_t10,acc_z_t10,gyro_x_t10,gyro_y_t10,gyro_z_t10,flex_t10,gesture
-1.854908,-2.461838,8.483255,-24.15396,91.22713,43.15549,0,-3.438672,-3.28664,7.636905,-22.73628,82.73628,52.99543,0,-4.585495,-4.367622,7.606977,-30.29726,66.92835,31.75305,0,-5.654506,-4.666898,8.188169,-40.29726,99.09299,51.21189,0,-6.992266,-4.109049,5.092467,-39.53506,93.35366,55.73171,0,-8.347384,-2.52708,2.238579,-30.6936,89.39024,76.69208,0,-8.608353,-2.418742,1.170765,-25.82317,77.85061,62.5686,0,-9.333796,0.1586159,-0.5662287,-18.34604,47.90396,50.16768,0,-9.482835,0.02932897,0.2693477,-19.55793,36.12805,36.85976,0,-9.742605,0.7912837,-1.891419,-1.387195,5.97561,18.49848,0,up
-0.1233014,-4.313154,11.72979,-43.27744,121.0213,43.17073,0,-3.505111,-2.330755,7.170035,-47.37043,116.8979,55.53354,0,-5.197812,-3.710414,7.502231,-33.52896,89.92378,53.01067,0,-6.287174,-3.722385,6.464345,-48.53659,105.6555,37.20274,0,-7.48607,-3.293224,4.067749,-29.0625,72.50762,38.73476,0,-8.1756,-2.202666,4.078523,-23.74238,50.80793,38.39939,0,-8.633492,-2.393603,5.254674,-23.45274,56.44055,30.98323,0,-9.202114,-1.936909,1.94888,-16.15092,43.62043,39.38262,0,-9.173983,-1.971027,1.109114,-14.54268,38.35366,44.5503,0,-9.54209,-0.5853824,0.02633622,-11.03659,34.00915,33.44512,0,up
-3.530849,-0.6135142,6.224925,-35.78506,103.6281,14.40549,0,-4.201824,-2.982577,8.15525,-9.199696,44.00153,8.208841,0,-5.329493,-2.952051,5.2852,-32.09604,81.92073,34.90854,0,-6.394913,-3.44765,5.699996,-27.08842,69.12347,36.04421,0,-7.097013,-3.417124,6.730101,-38.52134,82.27135,47.8811,0,-7.923611,-3.174711,5.108029,-31.9436,83.75,54.03963,0,-8.616134,-2.091335,1.640627,-37.31707,81.28811,54.40549,0,-9.252393,-0.8517372,-0.1747767,-23.28506,45.25915,38.1936,0,-9.633669,-0.4369418,0.3489549,-18.23171,30.12195,29.83994,0,-9.575011,-0.1029507,-0.8726865,-0.2057927,6.608232,16.9436,0,up
2.088342,-1.606509,9.459491,-2.210366,0.5411586,-0.4268293,0,2.044648,-1.835156,9.348759,-2.728659,1.935976,1.089939,0,2.053028,-1.555034,9.245809,4.580793,-9.33689,-2.842988,0,3.674501,-3.193267,15.16667,-17.94207,44.55793,17.48476,0,0.008379706,-1.294066,9.45171,-51.40244,180.1906,54.26067,0,-4.059968,-1.727417,10.66497,-77.21037,178.689,67.92683,0,-6.357802,-2.704251,6.47452,-41.50915,113.971,49.81707,0,-7.639898,-4.841076,2.274492,-50.30488,97.1189,40.01524,0,-8.537125,-3.219603,2.56838,-38.29268,77.3247,38.46037,0,-8.834005,-2.288258,1.289876,-34.96189,73.61281,48.94817,0,up
1.373075,-1.757344,8.51857,-60.15244,200.7775,61.9436,0,-3.107075,-1.063624,6.071097,-50.6936,122.096,47.78201,0,-3.970185,-2.942474,7.857172,-42.09604,104.2073,39.3064,0,-5.393538,-4.034828,6.348226,-46.44817,84.57317,36.22713,0,-7.000646,-2.277484,6.066308,-49.74848,99.83232,28.20884,0,-7.956531,-2.450465,3.449446,-36.39482,88.30031,48.39177,0,-8.403049,-2.453458,2.706645,-39.45884,80.96799,44.83232,0,-8.901642,-2.372654,1.307833,-34.45122,76.0061,62.04268,0,-9.208099,-0.3082535,-0.3345897,-25.50305,52.89634,44.00153,0,-9.296685,-0.1939303,-2.908356,-5.823171,7.439024,7.477134,0,up
-1.191714,-2.010531,8.776545,-42.15701,149.1235,57.9497,0,-3.872621,-2.863465,7.984064,-41.53201,101.3338,47.21799,0,-5.61141,-2.612673,6.350021,-36.7378,99.78659,37.77439,0,-6.780379,-2.804807,6.228516,-39.39787,97.38567,34.45884,0,-7.69257,-2.776675,5.44202,-35.88415,80.91463,27.11128,0,-8.51857,-2.652776,3.177106,-28.71951,75.73933,32.85823,0,-8.835203,-2.895787,1.306037,-30.19817,63.30031,22.84299,0,-9.141062,-2.414552,0.6153098,-23.73476,53.36128,49.96189,0,-9.428965,-0.6799533,-0.159813,-18.33079,38.40701,27.08842,0,-9.351752,0.3010709,-0.2549825,-1.051829,0.3810976,13.6814,0,up
-1.790863,-3.465008,11.09533,-30.09909,126.2881,70.94512,0,-4.38917,-2.616863,8.104373,-29.54268,78.60519,29.64939,0,-5.68982,-3.128623,8.331821,-33.02592,80.94512,34.48171,0,-6.661268,-3.241151,7.022193,-34.29116,89.47409,41.35671,0,-7.790134,-2.432509,4.007295,-26.97409,71.29573,44.64939,0,-8.368932,-2.428319,3.455432,-25.26677,67.21037,43.62043,0,-8.921394,-2.74196,2.183512,-26.92073,77.05793,49.65701,0,-9.063849,-0.7960721,1.643021,-21.88262,60.0,44.67226,0,-9.487024,0.5015852,-0.3292027,-11.83689,22.30945,31.54726,0,-9.657013,0.4387374,-0.4716577,-3.955793,7.858232,11.79116,0,up
-4.29041,-2.69647,8.306683,-57.75153,148.468,50.07622,0,-7.150283,-2.296638,3.115455,-41.34146,101.532,48.3689,0,-7.56867,-2.934094,5.001487,-30.71646,76.04421,21.73781,0,-8.640076,-2.032677,2.446874,-21.78354,54.74086,21.89024,0,-8.801684,-2.93589,2.713229,-22.71342,56.28049,27.29421,0,-9.144653,-2.292448,1.410185,-23.45274,53.07927,25.67073,0,-9.379285,-1.079785,1.260547,-18.1936,39.13872,26.20427,0,-9.580399,-1.069011,-0.7918822,-9.275915,23.39177,10.07622,0,-9.603742,-0.3375824,-0.3998317,-2.995427,12.27896,7.301829,0,-9.390059,-1.003769,0.4860229,2.1875,1.890244,3.483232,0,up
-7.668628,-3.816956,3.32375,-31.69207,74.83232,7.256098,0,-8.203732,-1.740585,4.565742,-22.03506,49.95427,16.47104,0,-8.56825,-3.734356,4.469376,-21.09756,38.74238,27.26372,0,-8.783728,-2.497152,2.765303,-12.8811,31.57775,18.44512,0,-9.337985,-1.701679,2.138621,-23.46799,47.73628,33.00305,0,-9.217676,-1.391031,0.1735796,-10.99085,29.5122,34.23018,0,-9.403227,-1.490989,1.972224,-19.52744,37.72866,9.870427,0,-9.472659,-0.9109938,-0.6338649,-5.411585,11.76067,14.02439,0,-9.479243,-0.5051765,-1.195904,2.987805,-3.239329,13.48323,0,-9.478644,-0.03471592,1.086369,0.4192073,0.6859756,3.597561,0,up
-5.475539,-1.739388,6.859388,-35.56403,76.57774,20.23628,0,-6.384139,-2.31639,6.231508,-15.99848,30.76982,15.04573,0,-6.531382,-3.785233,8.770559,-31.08994,73.91006,42.52287,0,-7.737462,-2.769493,5.048773,-26.93598,62.11128,29.00153,0,-8.160637,-4.468778,3.873818,-35.46494,87.77439,32.37805,0,-9.005191,-1.048062,2.290054,-38.1936,89.45885,9.268292,0,-9.096769,-2.459444,0.961272,-30.89177,64.4436,29.21494,0,-9.299079,-0.7966706,0.02094927,-22.58384,42.33232,17.1189,0,-9.38168,-0.3872621,-1.04866,-1.280488,2.553354,15.07622,0,-9.40203,-0.7882909,-1.37906,3.71189,-10.80793,1.067073,0,up
