acc-x,acc-y,acc-z,gyro-x,gyro-y,gyro-z,flex,label
-1.023521,-9.85633,1.316811,2.705793,14.33689,21.48628,0,right
-0.8421604,-10.33337,1.863886,5.053354,6.608232,-3.224085,0,right
-0.1448492,-10.96963,2.302624,13.3689,14.23018,-24.98476,0,right
1.449091,-10.92774,4.496311,13.90244,-5.091464,-0.3582317,0,right
1.845331,-6.963536,3.862446,6.592988,-17.27134,-26.73018,0,right
2.986168,-7.358579,4.390966,11.0061,3.719512,-20.78506,0,right
-9.430161,-0.320823,2.412158,-18.39939,20.10671,-36.26524,0,up
-9.032724,-0.5985504,-0.03770868,-8.803354,-9.420732,-17.55335,0,up
-9.041702,-3.202245,-0.2029086,17.57622,-36.74543,15.78506,0,up
-9.020155,-3.028067,2.652776,12.69055,-11.20427,58.56707,0,up
-9.193734,-2.571373,1.917157,-11.76829,-6.554878,45.5564,0,up
-9.31943,-1.793856,2.289455,-7.568598,24.6189,-21.01372,0,up
-9.243414,-2.458247,1.306636,1.684451,-31.54726,1.410061,0,up
-8.97646,-1.016339,2.309207,3.003049,-11.69207,9.41311,0,up
-9.085996,-1.853711,2.208053,-3.20122,3.025915,6.60061,0,up
-9.132084,-1.133056,2.79523,-5.967988,11.34909,-14.375,0,up
-9.525331,-2.418742,2.434304,-10.72409,12.75152,-20.6936,0,up
-8.980651,-2.358887,1.095347,0.2134146,-12.22561,8.079268,0,up
-9.108741,-1.415572,2.119467,9.146341,0.8384147,19.85518,0,up
-9.015367,-1.541866,2.203863,-2.73628,5.609756,-2.339939,0,up
-8.999206,-1.339556,2.585139,2.019817,-3.521342,8.605184,0,up
-8.983644,-1.707066,2.917933,1.341463,3.544207,17.20274,0,up
-9.160215,-1.984195,2.424129,7.926829,-18.71189,11.17378,0,up
-9.384073,-2.024297,3.736152,0.4115854,17.22561,5.998476,0,up
-8.843582,-2.325967,1.992574,-5.868903,13.52896,-3.346037,0,up
-9.139865,-1.846528,2.755128,2.705793,-3.582317,0.5487805,0,up
-9.12131,-2.61387,2.449867,2.858232,3.353659,-10.66311,0,up
-9.04709,-2.545036,2.971204,-10.38872,28.23933,-2.240854,0,up
-8.895657,-3.072359,0.6266823,-0.2972561,-10.99848,9.527439,0,up
-8.93935,-1.610699,2.986168,9.032012,-6.592988,-1.814024,0,up
-8.799889,-2.551022,1.842937,-5.922256,11.27287,-10.35061,0,up
-9.273342,-2.23379,2.689287,-5,17.06555,1.181402,0,up
-8.931569,-2.001553,3.460819,-0.09908537,3.064024,-2.77439,0,up
-8.800487,-2.625242,1.702277,-2.286585,-3.734756,-3.08689,0,up
-8.82802,-2.304419,2.691681,-2.530488,-9.245427,-1.570122,0,up
-9.023148,-2.400786,2.934094,0.617378,-19.52744,-7.408537,0,up
-8.663419,-0.545878,2.809596,-1.181402,12.13415,-3.08689,0,up
-8.752005,-2.249352,1.568202,-0.2210366,-17.44665,1.425305,0,up
