flex,acc-x,acc-y,acc-z,gyro-x,gyro-y,gyro-z
8.321647,0.8242039,5.779005,3.879573,-0.9603659,-4.862805,0
8.233061,0.6607997,5.404312,-1.539634,-3.521342,-0.2286585,0
8.072051,0.7188591,5.566519,-6.554878,0.7012195,2.804878,0
7.973889,0.4662708,5.325303,-2.591464,0.5640244,-0.5335366,0
7.314286,-0.2430115,6.232107,6.219512,36.89024,-3.757622,0
6.311714,-0.7631517,8.536526,-1.95122,16.47866,10.70122,0
5.8634,-0.4698621,8.365341,-0.2591463,2.926829,-0.7621951,0
5.878364,-0.4351461,7.685986,-2.903964,-2.1875,-0.8993903,0
5.844246,-0.6129156,7.991247,-0.7012195,-1.044207,-1.097561,0
5.984906,-0.5943606,7.746439,1.158537,-3.300305,0.5259147,0
6.096835,-0.7517793,7.556699,0.09146341,-2.278964,-2.118902,0
6.169259,-0.4381389,7.678803,1.150915,0.5487805,-0.2210366,0
6.017228,-0.5973534,7.832631,-0.5030488,2.568598,1.067073,0
6.119579,-0.616507,7.657854,-2.057927,-1.966463,0.7088415,0
6.01184,-0.7745243,8.000225,1.333841,2.934451,-0.8765244,0
6.096236,-0.8798691,7.717111,0.3353659,0.8079268,0.04573171,0
6.05733,-0.861314,7.78774,-2.804878,4.420732,0.5182927,0
6.042965,-0.9522938,7.58124,-0.5411586,-2.240854,1.173781,0
5.878962,-1.16837,7.546524,-4.977134,-0.7621951,2.629573,0
5.984906,-0.9415198,7.652467,-1.021341,0.2515244,-0.785061,0
6.159084,-0.8535329,7.781156,2.14939,3.673781,-0.4954268,0
6.14412,-0.9223662,7.650073,0.0,-2.027439,-0.05335366,0
6.166266,-0.7410054,7.735666,0.6021342,3.673781,-2.637195,0
6.054338,-0.9564837,7.57286,-0.5945122,1.028963,-0.3429878,0
6.687604,-1.001973,9.267955,-5.27439,15.77744,5.205793,0
6.195595,-0.985214,7.626729,-0.4115854,2.378049,-0.152439,0
6.162675,-1.033098,7.685986,1.890244,-0.7164635,-0.9146341,0
-3.186682,-4.875792,7.258022,-43.36128,10.40396,30.86128,0
-3.697246,-5.073912,7.097013,-2.675305,-20.625,-7.317073,0
